year,constructorId,constructorName,totalPoints
2020,1,McLaren,202
2020,131,Mercedes,573
2020,210,Haas F1 Team,3
2020,211,Racing Point,210
2020,213,AlphaTauri,107
2020,3,Williams,0
2020,4,Renault,181
2020,51,Alfa Romeo,8
2020,6,Ferrari,131
2020,9,Red Bull,319
2021,1,McLaren,275
2021,117,Aston Martin,77
2021,131,Mercedes,613.5
2021,210,Haas F1 Team,0
2021,213,AlphaTauri,142
2021,214,Alpine F1 Team,155
2021,3,Williams,23
2021,51,Alfa Romeo,13
2021,6,Ferrari,323.5
2021,9,Red Bull,585.5
2022,1,McLaren,159
2022,117,Aston Martin,55
2022,131,Mercedes,515
2022,210,Haas F1 Team,37
2022,213,AlphaTauri,35
2022,214,Alpine F1 Team,173
2022,3,Williams,8
2022,51,Alfa Romeo,55
2022,6,Ferrari,554
2022,9,Red Bull,759
2023,1,McLaren,302
2023,117,Aston Martin,280
2023,131,Mercedes,409
2023,210,Haas F1 Team,12
2023,213,AlphaTauri,25
2023,214,Alpine F1 Team,120
2023,3,Williams,28
2023,51,Alfa Romeo,16
2023,6,Ferrari,406
2023,9,Red Bull,860
2024,1,McLaren,666
2024,117,Aston Martin,94
2024,131,Mercedes,468
2024,15,Sauber,4
2024,210,Haas F1 Team,58
2024,214,Alpine F1 Team,65
2024,215,RB F1 Team,46
2024,3,Williams,17
2024,6,Ferrari,652
2024,9,Red Bull,589
