year,driverId,driverName,totalPoints
2020,1,Lewis Hamilton,347
2020,154,Romain Grosjean,2
2020,20,Sebastian Vettel,33
2020,8,Kimi Räikkönen,4
2020,807,Nico Hülkenberg,10
2020,815,Sergio Pérez,125
2020,817,Daniel Ricciardo,119
2020,822,Valtteri Bottas,223
2020,825,Kevin Magnussen,1
2020,826,Daniil Kvyat,32
2020,830,Max Verstappen,214
2020,832,Carlos Sainz,105
2020,839,Esteban Ocon,62
2020,840,Lance Stroll,75
2020,841,Antonio Giovinazzi,4
2020,842,Pierre Gasly,75
2020,844,Charles Leclerc,98
2020,846,Lando Norris,97
2020,847,George Russell,3
2020,848,Alexander Albon,105
2020,849,Nicholas Latifi,0
2020,850,Pietro Fittipaldi,0
2020,851,Jack Aitken,0
2021,1,Lewis Hamilton,385.5
2021,20,Sebastian Vettel,43
2021,4,Fernando Alonso,81
2021,8,Kimi Räikkönen,10
2021,815,Sergio Pérez,190
2021,817,Daniel Ricciardo,114
2021,822,Valtteri Bottas,219
2021,830,Max Verstappen,388.5
2021,832,Carlos Sainz,163.5
2021,839,Esteban Ocon,74
2021,840,Lance Stroll,34
2021,841,Antonio Giovinazzi,3
2021,842,Pierre Gasly,110
2021,844,Charles Leclerc,159
2021,846,Lando Norris,160
2021,847,George Russell,16
2021,849,Nicholas Latifi,7
2021,852,Yuki Tsunoda,32
2021,853,Nikita Mazepin,0
2021,854,Mick Schumacher,0
2021,9,Robert Kubica,0
2022,1,Lewis Hamilton,233
2022,20,Sebastian Vettel,37
2022,4,Fernando Alonso,81
2022,807,Nico Hülkenberg,0
2022,815,Sergio Pérez,291
2022,817,Daniel Ricciardo,34
2022,822,Valtteri Bottas,47
2022,825,Kevin Magnussen,21
2022,830,Max Verstappen,433
2022,832,Carlos Sainz,228
2022,839,Esteban Ocon,89
2022,840,Lance Stroll,18
2022,842,Pierre Gasly,23
2022,844,Charles Leclerc,291
2022,846,Lando Norris,116
2022,847,George Russell,262
2022,848,Alexander Albon,4
2022,849,Nicholas Latifi,2
2022,852,Yuki Tsunoda,12
2022,854,Mick Schumacher,12
2022,855,Guanyu Zhou,6
2022,856,Nyck de Vries,2
2023,1,Lewis Hamilton,217
2023,4,Fernando Alonso,198
2023,807,Nico Hülkenberg,6
2023,815,Sergio Pérez,260
2023,817,Daniel Ricciardo,6
2023,822,Valtteri Bottas,10
2023,825,Kevin Magnussen,3
2023,830,Max Verstappen,530
2023,832,Carlos Sainz,178
2023,839,Esteban Ocon,56
2023,840,Lance Stroll,68
2023,842,Pierre Gasly,54
2023,844,Charles Leclerc,185
2023,846,Lando Norris,184
2023,847,George Russell,157
2023,848,Alexander Albon,25
2023,852,Yuki Tsunoda,14
2023,855,Guanyu Zhou,6
2023,856,Nyck de Vries,0
2023,857,Oscar Piastri,82
2023,858,Logan Sargeant,1
2023,859,Liam Lawson,2
2024,1,Lewis Hamilton,207
2024,4,Fernando Alonso,70
2024,807,Nico Hülkenberg,36
2024,815,Sergio Pérez,138
2024,817,Daniel Ricciardo,7
2024,822,Valtteri Bottas,0
2024,825,Kevin Magnussen,14
2024,830,Max Verstappen,399
2024,832,Carlos Sainz,262
2024,839,Esteban Ocon,23
2024,840,Lance Stroll,24
2024,842,Pierre Gasly,40
2024,844,Charles Leclerc,327
2024,846,Lando Norris,344
2024,847,George Russell,226
2024,848,Alexander Albon,12
2024,852,Yuki Tsunoda,29
2024,855,Guanyu Zhou,4
2024,857,Oscar Piastri,265
2024,858,Logan Sargeant,0
2024,859,Liam Lawson,4
2024,860,Oliver Bearman,7
2024,861,Franco Colapinto,5
2024,862,Jack Doohan,0
